# y/d99 {uu vv ww -uv}_rms/Vtau (Spalart 1988)
0.000000000000000000e+00 1.000000000000000062e-09 1.000000000000000062e-09 1.000000000000000062e-09 0.000000000000000000e+00
9.623735721170145535e-04 9.935791767994568702e-02 1.063720719182392055e-02 4.896044370429075004e-02 4.720981049212247954e-03
2.079525728812381142e-03 2.146955725363528245e-01 2.298519573048311143e-02 1.057951965950401640e-01 1.020123769138461638e-02
3.376168667342227623e-03 3.485643162163006847e-01 3.731711287153008372e-02 1.717614846760419645e-01 1.656199708643789695e-02
4.880897249463789396e-03 5.840802284325500304e-01 5.394902032878487463e-02 2.483140622456945223e-01 2.394353303694939095e-02
6.626777133806482749e-03 1.040107815434631933e+00 7.324639595710569218e-02 3.740801737180949327e-01 3.250805110663361475e-02
8.652014345925039887e-03 1.185412393284329013e+00 9.563153457356839138e-02 5.530731824598301705e-01 4.244297323623738571e-02
1.100071484057365580e-02 1.353924472673433632e+00 1.215919434711834890e-01 6.732082700031198907e-01 8.891204027823042255e-02
1.372374247855660985e-02 1.551582951208611005e+00 1.516898257182429932e-01 7.449639737041353627e-01 1.355541933907300489e-01
1.687968321192010249e-02 1.817379779821441277e+00 1.937733892529793778e-01 8.281275615437876381e-01 1.818019960404950730e-01
2.053592192971267355e-02 2.103439893513836090e+00 2.436723953369021312e-01 9.244747224886692427e-01 2.488804782725319575e-01
2.476983607849190042e-02 2.342772818132918822e+00 3.014553039967318715e-01 1.000056090580982548e+00 3.590604015088216250e-01
2.967010647257981373e-02 2.499404888064750807e+00 3.665797951118593412e-01 1.049128291751561637e+00 4.310553657248447634e-01
3.533814018931197981e-02 2.556358048730722032e+00 4.328628614693309506e-01 1.105889014817921678e+00 5.524141777059095038e-01
4.188959253893016071e-02 2.615495317508593764e+00 5.094767936598960656e-01 1.171496453143734184e+00 6.403152571524576286e-01
4.945596413243320139e-02 2.619677477708307389e+00 5.899647505622894750e-01 1.224805420882408846e+00 7.090464109541065874e-01
5.818623426905671081e-02 2.570788462658093021e+00 6.759092436121654224e-01 1.279627413102849331e+00 7.575737679407866798e-01
6.824847238769335411e-02 2.503414664687804159e+00 7.626939897959185144e-01 1.313873544387382131e+00 7.963823713558958461e-01
7.983134433968243349e-02 2.416767966388772670e+00 8.132623271462957604e-01 1.332448643789087672e+00 8.352181128479821970e-01
9.314539904642500645e-02 2.311730034381452636e+00 8.713886375037471765e-01 1.346341654428737211e+00 8.601123915424782052e-01
1.084239833541892073e-01 2.214724745095149494e+00 9.245415439945967595e-01 1.350845741229457442e+00 8.720854434875316974e-01
1.259235889061261215e-01 2.111311158189390635e+00 9.633523866408485459e-01 1.351142375379478677e+00 8.776784262170225226e-01
1.459233860477404943e-01 2.025973302778547591e+00 1.005185548603142687e+00 1.345698240044139515e+00 8.785939000324117787e-01
1.687236492963634371e-01 1.937448580620045213e+00 1.017269534822155874e+00 1.334902028161264242e+00 8.724018683050821510e-01
1.946427322636216373e-01 1.871273654033631884e+00 1.023808996674545169e+00 1.321468141618404424e+00 8.631038245329986092e-01
2.240122157660839886e-01 1.805859583759920284e+00 1.023765632802140058e+00 1.295803956466708318e+00 8.499236058235499769e-01
2.571698435140697403e-01 1.741988011291701666e+00 1.015715782910539655e+00 1.267753490200108191e+00 8.287330223279160135e-01
2.944498913133359319e-01 1.681960327629567153e+00 1.001149736958147463e+00 1.238107276016650715e+00 7.979898963555908109e-01
3.361707071353376985e-01 1.620361799837633621e+00 9.799499100129362983e-01 1.189378753757473595e+00 7.626061881817886023e-01
3.826193302401368901e-01 1.554315464097555388e+00 9.474653180017934551e-01 1.144115266946647003e+00 7.120592555264279033e-01
4.340333634497677284e-01 1.470224755989592680e+00 9.077024651874201489e-01 1.076784102934444043e+00 6.466701066339172188e-01
4.905806388419448605e-01 1.365198771708418857e+00 8.511808209635878253e-01 9.912349812702629936e-01 5.618575619148451494e-01
5.523376698519495420e-01 1.242161691326905792e+00 7.978694118509083166e-01 8.889257768394022152e-01 4.703365795970539387e-01
6.192683810652946930e-01 1.091317514441145997e+00 7.198383243811818932e-01 7.744843654080835194e-01 3.688117297956432505e-01
6.912050774852142032e-01 9.011761329982136415e-01 6.382165918166916585e-01 6.273455707530424252e-01 2.607682794075768529e-01
7.678339544355087254e-01 6.919322082709797872e-01 5.304158567349979148e-01 4.817727390021033784e-01 1.581518327887309339e-01
8.486875384025706071e-01 4.841227637887567381e-01 4.377316835625540969e-01 3.603816318453264000e-01 8.575863873383729463e-02
9.331461806555724214e-01 3.135403396293144906e-01 3.369933216061540282e-01 2.561758499743322925e-01 3.680715521821188718e-02
1.020450040878625897e+00 2.248407610182153737e-01 2.529325509684352546e-01 1.937337528158398769e-01 1.329507513422681364e-02
1.109721923851760161e+00 1.398577656993533203e-01 1.769154722478107900e-01 1.345152445810552655e-01 2.703555171629358142e-03
1.199999999999999956e+00 0.000000000000000000e+00 4.440892098500626162e-16 1.771793054570203196e-03 1.771793054570647286e-03
